,,,,,,,,,,,,,
01734,MARIAN COLLEGE,C,SUNSHINE WEST,117,78,50,66,4,14,8,6,2,0
01429,MARIBYRNONG SECONDARY COLLEGE,G,MARIBYRNONG,162,162,110,57,11,14,5,13,1,0
01494,MARIST-SION COLLEGE,C,WARRAGUL,121,112,66,50,23,6,8,6,6,2
01788,MARY MACKILLOP CATHOLIC REGIONAL COLLEGE,C,LEONGATHA,75,57,37,51,19,8,14,3,5,0
01470,MARYBOROUGH EDUCATION CENTRE,G,MARYBOROUGH REGION,73,57,45,33,16,11,9,22,4,4
15008,MARYMEDE CATHOLIC COLLEGE,C,SOUTH MORANG,109,109,67,63,3,19,9,6,0,0
01431,MATER CHRISTI COLLEGE,C,BELGRAVE - SELBY,162,157,95,67,6,15,2,8,1,0
01067,MATTHEW FLINDERS GIRLS SECONDARY COLLEGE,G,GEELONG,99,59,40,43,10,10,0,25,10,3
01218,MAZENOD COLLEGE,C,MULGRAVE,184,183,112,71,4,11,10,2,2,1
01011,MCCLELLAND SECONDARY COLLEGE,G,FRANKSTON NORTH,117,69,46,26,2,26,11,20,15,0
01549,MCGUIRE COLLEGE,G,SHEPPARTON - SOUTH,43,43,30,33,3,23,7,23,7,3
01325,MCKINNON SECONDARY COLLEGE,G,BENTLEIGH - MCKINNON,276,273,154,73,9,8,3,6,0,0
01513,MELBA SECONDARY COLLEGE,G,CROYDON,116,107,92,26,8,18,9,23,14,2
01164,MELBOURNE GIRLS GRAMMAR,I,SOUTH YARRA - WEST,83,65,40,88,5,3,0,5,0,0
01223,MELBOURNE GRAMMAR SCHOOL,I,SOUTH YARRA - WEST,190,136,77,86,8,0,3,4,0,0
01556,MELBOURNE RUDOLF STEINER SCHOOL,I,CROYDON HILLS - WARRANWOOD,31,31,23,52,13,13,0,13,9,0
01943,MELTON CHRISTIAN COLLEGE,I,MELTON SOUTH,25,16,12,67,0,25,0,8,0,0
01313,MELTON SECONDARY COLLEGE,G,MELTON WEST,89,80,57,21,11,30,7,21,11,0
01065,MENTONE GIRLS' GRAMMAR SCHOOL,I,MENTONE,62,58,41,78,2,12,5,0,2,0
01273,MENTONE GIRLS SECONDARY COLLEGE,G,MENTONE,147,99,77,66,12,9,3,6,3,1
01116,MENTONE GRAMMAR SCHOOL,I,MENTONE,171,171,112,78,7,6,4,5,0,0
01183,MERCY REGIONAL COLLEGE,C,CAMPERDOWN,79,69,49,43,6,8,20,18,4,0
01015,METHODIST LADIES' COLLEGE,I,KEW,285,204,123,81,5,8,5,1,0,0
01107,MILDURA SENIOR COLLEGE,G,MILDURA,355,314,216,29,21,9,13,21,4,2
01873,MILL PARK SECONDARY COLLEGE,G,EPPING,278,195,140,47,11,14,12,11,4,1
01371,MIRBOO NORTH SECONDARY COLLEGE,G,LEONGATHA,51,50,36,39,19,14,14,8,6,0
01062,MONBULK COLLEGE,G,MONBULK - SILVAN,64,57,42,31,19,19,10,19,2,0
01071,MONTMORENCY SECONDARY COLLEGE,G,MONTMORENCY - BRIAR HILL,91,84,48,46,13,13,4,17,8,0
01436,MOOROOLBARK COLLEGE,G,MOOROOLBARK,116,91,68,26,7,28,10,22,3,3
01482,MOOROOPNA SECONDARY COLLEGE,G,MOOROOPNA,42,38,21,10,14,29,10,29,10,0
01376,MORDIALLOC COLLEGE,G,EDITHVALE - ASPENDALE,67,58,43,33,14,21,5,19,7,2
01590,MORNINGTON SECONDARY COLLEGE,G,MORNINGTON,194,189,115,33,12,11,14,25,3,1
01329,MOUNT BEAUTY SECONDARY COLLEGE,G,BRIGHT - MOUNT BEAUTY,25,23,16,50,6,13,0,19,13,0
01531,MOUNT CLEAR COLLEGE,G,BALLARAT - SOUTH,132,77,51,41,6,14,12,24,2,2
01228,MOUNT ELIZA SECONDARY COLLEGE,G,MOUNT ELIZA,98,84,59,36,19,10,19,15,2,0
01637,MOUNT ERIN SECONDARY COLLEGE,G,FRANKSTON SOUTH,170,93,48,25,6,21,10,29,8,0
01047,MOUNT EVELYN CHRISTIAN SCHOOL/RANGES TEC,I,MONTROSE,54,39,25,44,28,12,0,16,0,0
01515,MOUNT LILYDALE MERCY COLLEGE,C,LILYDALE - COLDSTREAM,215,170,104,54,5,13,13,13,2,0
14946,MOUNT RIDLEY P-12 COLLEGE,G,CRAIGIEBURN - MICKLEHAM,171,86,61,39,7,25,7,15,8,0
01430,MOUNT ST JOSEPH GIRLS' COLLEGE,C,ALTONA,151,122,79,68,10,11,4,5,0,1
01383,MOUNT WAVERLEY SECONDARY COLLEGE,G,MOUNT WAVERLEY - NORTH,271,193,134,72,6,13,1,4,1,1
01656,MULLAUNA SECONDARY COLLEGE,G,MITCHAM (VIC.),62,50,40,60,8,23,8,3,0,0
01335,MURTOA COLLEGE,G,YARRIAMBIACK,28,18,12,25,17,25,17,17,0,0
01233,MYRTLEFORD P-12 COLLEGE,G,MYRTLEFORD,20,20,17,24,29,6,18,24,0,0
01369,NAGLE COLLEGE,C,BAIRNSDALE,142,138,83,20,25,4,10,35,6,0
13410,NARRE WARREN SOUTH P-12 COLLEGE,G,NARRE WARREN SOUTH,188,117,86,37,8,20,17,12,6,0
01750,NAZARETH COLLEGE,C,NOBLE PARK NORTH,124,102,62,68,3,21,3,3,2,0
01149,NEERIM DISTRICT SECONDARY COLLEGE,G,MOUNT BAW BAW REGION,27,18,10,40,0,10,30,0,10,10
01487,NEWCOMB SECONDARY COLLEGE,G,NEWCOMB - MOOLAP,61,55,35,20,9,17,6,31,17,0
01564,NEWHAVEN COLLEGE,I,PHILLIP ISLAND,87,68,41,61,27,2,2,5,2,0
01287,NHILL COLLEGE,G,NHILL REGION,27,25,15,13,40,7,7,33,0,0
01175,NOBLE PARK SECONDARY COLLEGE,G,NOBLE PARK,82,68,53,26,6,30,9,11,13,4
01380,NORTH GEELONG SECONDARY COLLEGE,G,NORTH GEELONG - BELL PARK,72,72,47,32,9,13,13,26,6,2
01123,NORTHCOTE HIGH SCHOOL,G,NORTHCOTE,247,245,198,72,9,10,2,6,3,0
01539,NORTHERN BAY P-12 COLLEGE,G,CORIO - NORLANE,32,19,14,7,7,29,21,21,7,7
01596,NORTHERN COLLEGE OF THE ARTS AND TECHNOLOGY,G,PRESTON,94,78,44,7,11,20,27,18,16,0
01077,NORWOOD SECONDARY COLLEGE,G,RINGWOOD,165,165,123,46,8,13,10,15,7,2
15007,NOSSAL HIGH SCHOOL,G,BERWICK - NORTH,204,172,148,95,3,1,0,1,1,0
01328,OBERON HIGH SCHOOL,G,BELMONT,85,66,36,31,14,17,8,25,6,0
01326,OUR LADY OF MERCY COLLEGE,C,HEIDELBERG - ROSANNA,180,153,102,81,6,6,5,2,0,0
01274,OUR LADY OF SION COLLEGE,C,BOX HILL,151,125,76,84,8,4,1,3,0,0
01379,OUR LADY OF THE SACRED HEART COLLEGE,C,BENTLEIGH - MCKINNON,110,64,42,74,7,17,2,0,0,0
01504,OUYEN P-12 COLLEGE,G,MILDURA REGION,22,22,17,65,0,12,12,0,12,0
01753,OVERNEWTON ANGLICAN COMMUNITY COLLEGE,I,KEILOR,157,157,97,75,5,9,5,1,4,0
01530,OXLEY CHRISTIAN COLLEGE,I,CHIRNSIDE PARK,87,65,41,61,7,15,2,10,2,2
01167,PADUA COLLEGE,C,MORNINGTON,311,226,135,47,17,11,12,13,0,0
01284,PASCOE VALE GIRLS SECONDARY COLLEGE,G,PASCOE VALE,177,177,127,69,6,13,5,6,1,2
01466,PATTERSON RIVER SECONDARY COLLEGE,G,SEAFORD (VIC.),150,150,82,32,9,15,16,15,12,2
01171,PENLEIGH & ESSENDON GRAMMAR SCHOOL,I,KEILOR EAST,245,245,155,85,6,4,3,2,1,0
01581,PHOENIX P-12 COMMUNITY COLLEGE,G,BALLARAT - SOUTH,79,77,54,39,7,11,13,20,7,2
14555,POINT COOK SENIOR SECONDARY COLLEGE,G,POINT COOK,248,171,111,33,7,20,14,23,4,0
01662,PORTLAND SECONDARY COLLEGE,G,PORTLAND,68,65,39,21,10,13,23,18,13,3
01072,PRESBYTERIAN LADIES' COLLEGE,I,BURWOOD,173,148,105,92,2,2,2,1,0,1
01020,PRESENTATION COLLEGE WINDSOR,C,PRAHRAN - WINDSOR,96,81,51,69,4,18,2,4,2,2
01194,PRINCES HILL SECONDARY COLLEGE,G,CARLTON NORTH - PRINCES HILL,139,103,79,63,23,3,1,9,1,0
01448,RINGWOOD SECONDARY COLLEGE,G,RINGWOOD,212,187,113,50,11,19,7,10,3,0
01142,ROCHESTER SECONDARY COLLEGE,G,ROCHESTER,53,53,38,32,18,18,13,16,3,0
01044,ROSEBUD SECONDARY COLLEGE,G,ROSEBUD - MCCRAE,178,177,116,19,22,12,17,28,2,1
01658,ROSEHILL SECONDARY COLLEGE,G,NIDDRIE - ESSENDON WEST,135,135,99,52,9,14,11,8,6,0
01838,ROWVILLE SECONDARY COLLEGE,G,ROWVILLE - CENTRAL,238,152,101,33,8,18,18,21,3,0
01246,ROXBURGH COLLEGE,G,ROXBURGH PARK - SOMERTON,177,177,118,33,8,27,13,8,8,3
01176,RUYTON GIRLS' SCHOOL,I,KEW,70,52,33,91,6,0,0,0,3,0
01124,SACRE COEUR,C,MALVERN - GLEN IRIS,86,74,55,91,0,7,0,2,0,0
01365,SACRED HEART COLLEGE,C,YARRAWONGA,21,20,13,38,23,8,8,15,0,8
01493,SACRED HEART COLLEGE,C,NEWTOWN (VIC.),228,203,125,67,14,10,2,8,0,0
01511,SACRED HEART COLLEGE,C,KYNETON,98,97,59,49,14,15,10,10,2,0
01078,SACRED HEART GIRLS' COLLEGE,C,HUGHESDALE,170,161,115,89,5,4,0,2,0,0
01793,SAINT IGNATIUS COLLEGE GEELONG,C,CLIFTON SPRINGS,156,156,94,39,20,18,7,15,0,0
01026,SALESIAN COLLEGE,C,ASHWOOD - CHADSTONE,125,66,38,66,3,16,11,5,0,0
01057,SALESIAN COLLEGE,C,SUNBURY,169,146,96,60,9,19,4,6,1,0
01664,SANDRINGHAM COLLEGE,G,SANDRINGHAM - BLACK ROCK,193,145,105,37,12,19,8,21,3,0
01070,SANTA MARIA COLLEGE,C,NORTHCOTE,125,117,84,75,10,11,2,2,0,0
01343,SCORESBY SECONDARY COLLEGE,G,KNOXFIELD - SCORESBY,66,58,45,20,16,27,4,22,11,0
01497,SCOTCH COLLEGE,I,HAWTHORN,244,174,115,85,6,3,0,3,2,0
01255,SEYMOUR COLLEGE,G,SEYMOUR,73,73,49,31,8,20,10,22,8,0
01442,SHELFORD GIRLS' GRAMMAR,I,CAULFIELD - NORTH,57,54,42,88,5,2,0,5,0,0
01150,SHEPPARTON HIGH SCHOOL,G,SHEPPARTON - NORTH,97,78,62,32,8,23,13,21,3,0
01388,SIENA COLLEGE LTD,C,SURREY HILLS (WEST) - CANTERBURY,104,99,68,76,6,7,1,9,0,0
11800,SIMONDS CATHOLIC COLLEGE,C,FITZROY NORTH,64,48,28,71,0,14,7,4,4,0
13401,SIRIUS COLLEGE,I,KEYSBOROUGH,34,23,15,60,7,27,7,0,0,0
01651,SOUTH OAKLEIGH SECONDARY COLLEGE,G,OAKLEIGH - HUNTINGDALE,48,45,27,52,7,30,0,4,7,0
01133,ST ALBANS SECONDARY COLLEGE,G,ST ALBANS - SOUTH,147,133,97,52,10,19,9,8,2,0
01339,ST ALOYSIUS COLLEGE,C,NORTH MELBOURNE,67,59,38,66,5,18,3,3,5,0
11313,ST AUGUSTINE'S COLLEGE,C,KYABRAM,47,39,25,40,28,12,8,0,8,4
01237,ST BEDE'S COLLEGE,C,MENTONE,264,219,127,68,5,8,12,6,2,1
01182,ST BERNARD'S COLLEGE,C,NIDDRIE - ESSENDON WEST,228,197,103,72,2,14,6,6,1,0
01244,ST BRIGID'S COLLEGE,C,HORSHAM REGION,53,53,37,22,24,3,24,22,3,3
01130,ST CATHERINE'S SCHOOL,I,TOORAK,56,51,29,93,3,0,0,3,0,0
01083,ST COLUMBA'S COLLEGE,C,ESSENDON - ABERFELDIE,154,153,94,84,3,11,1,1,0,0
01524,ST FRANCIS XAVIER COLLEGE,C,BEACONSFIELD - OFFICER,307,227,139,42,7,17,13,16,4,0
01741,ST HELENA SECONDARY COLLEGE,G,GREENSBOROUGH,212,208,153,53,8,11,13,11,3,0
01370,ST JOSEPH'S COLLEGE,C,FERNTREE GULLY,149,112,63,49,16,17,10,8,0,0
01438,ST JOSEPH'S COLLEGE GEELONG,C,NEWTOWN (VIC.),237,212,120,62,9,5,15,9,0,0
01476,ST JOSEPH'S COLLEGE MILDURA,C,MILDURA,77,72,36,47,25,6,11,8,0,3
01032,ST KEVIN'S COLLEGE,C,TOORAK,251,240,158,79,11,4,3,3,0,0
01501,ST LEONARD'S COLLEGE,I,BRIGHTON EAST,186,179,111,77,13,6,2,3,0,0
01280,ST MARGARET'S SCHOOL,I,BERWICK - NORTH,68,68,41,78,10,10,0,2,0,0
15057,ST MARGARET'S SCHOOL,I,BEACONSFIELD - OFFICER,35,35,20,65,20,5,5,5,0,0
01028,ST MARY OF THE ANGELS COLLEGE,C,NUMURKAH,65,54,37,46,14,16,19,5,0,0
01449,ST MICHAEL'S GRAMMAR SCHOOL,I,ST KILDA,143,99,62,56,26,10,2,3,3,0
01393,ST MONICA'S COLLEGE,C,EPPING,264,184,129,64,5,15,6,10,0,0
01678,ST PAUL'S ANGLICAN GRAMMAR SCHOOL,I,WARRAGUL,111,97,56,79,5,5,4,4,2,2
01884,ST PETER'S COLLEGE,C,CRANBOURNE WEST,170,140,78,42,9,21,9,14,4,1
01941,ST THOMAS AQUINAS COLLEGE,I,BUNYIP - GARFIELD,13,13,12,58,0,33,0,8,0,0
01285,STAR OF THE SEA COLLEGE,C,BRIGHTON (VIC.),151,132,78,77,9,10,3,1,0,0
01681,STAWELL SECONDARY COLLEGE,G,STAWELL,42,41,28,25,25,11,7,21,11,0
01290,STRATHCONA BAPTIST GIRLS' GRAMMAR,I,SURREY HILLS (WEST) - CANTERBURY,92,86,49,98,0,2,0,0,0,0
01089,STRATHMORE SECONDARY COLLEGE,G,STRATHMORE,244,174,125,65,11,10,5,6,2,1
01006,SUNBURY COLLEGE,G,SUNBURY,132,132,93,37,9,14,9,25,8,0
01791,SUNBURY DOWNS SECONDARY COLLEGE,G,SUNBURY - SOUTH,82,75,51,47,2,16,12,20,4,0
01676,SUNSHINE COLLEGE,G,SUNSHINE,135,123,68,32,6,22,16,13,7,3
15111,SURF COAST SECONDARY COLLEGE,G,TORQUAY,61,46,32,22,13,13,13,34,6,0
15066,SUZANNE CORY HIGH SCHOOL,G,WERRIBEE - SOUTH,199,114,74,95,0,4,0,1,0,0
01421,SWAN HILL COLLEGE,G,SWAN HILL,114,106,77,29,16,12,8,32,3,1
01565,SWINBURNE SENIOR SECONDARY COLLEGE,G,HAWTHORN,199,175,105,30,18,14,5,23,6,5
01215,TALLANGATTA SECONDARY COLLEGE,G,TOWONG,49,49,39,23,10,8,26,26,8,0
15120,TARNEIT SENIOR COLLEGE,G,TARNEIT,107,105,65,38,8,18,0,15,20,0
01889,TAYLORS LAKES SECONDARY COLLEGE,G,TAYLORS LAKES,181,113,92,58,10,16,5,8,3,0
01897,THE GRANGE P-12 COLLEGE,G,HOPPERS CROSSING - NORTH,115,98,71,31,6,21,6,24,13,0
01126,THE HAMILTON AND ALEXANDRA COLLEGE,I,SOUTHERN GRAMPIANS,36,35,23,70,22,0,4,4,0,0
01934,THE KING DAVID SCHOOL,I,ARMADALE,61,49,34,76,12,12,0,0,0,0
01701,THE KNOX SCHOOL,I,WANTIRNA SOUTH,79,79,45,62,7,11,11,9,0,0
01349,THOMASTOWN SECONDARY COLLEGE,G,THOMASTOWN,81,81,51,39,4,24,10,12,10,2
14996,TINTERN GRAMMAR,I,RINGWOOD EAST,82,75,43,74,5,7,7,7,0,0
01425,TRAFALGAR HIGH SCHOOL,G,TRAFALGAR (VIC.),72,62,43,42,14,9,16,9,9,0
01586,TRARALGON COLLEGE,G,TRARALGON,72,57,38,34,16,5,11,24,11,0
01401,TRINITY COLLEGE COLAC INC,C,COLAC REGION,111,89,59,22,31,5,24,15,3,0
01134,TRINITY GRAMMAR SCHOOL KEW,I,KEW,163,140,92,82,10,4,3,1,0,0
01372,UNIVERSITY HIGH SCHOOL,G,PARKVILLE,242,216,160,76,9,7,1,4,3,0
01168,UPPER YARRA SECONDARY COLLEGE,G,YARRA VALLEY,53,48,38,45,3,24,11,13,5,0
01069,UPWEY HIGH SCHOOL,G,UPWEY - TECOMA,95,68,40,25,13,20,15,25,3,0
01193,VERMONT SECONDARY COLLEGE,G,VERMONT,199,182,134,63,13,13,4,5,1,0
01377,VICTORIA UNIVERSITY OF TECHNOLOGY - TAFE,A,FOOTSCRAY,23,18,11,27,0,18,9,9,36,0
01575,VICTORIA UNIVERSITY SECONDARY COLLEGE,G,ST ALBANS - NORTH,119,65,34,56,9,18,6,9,3,0
01525,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,G,SOUTHBANK,74,74,55,64,2,20,5,5,4,0
01392,VIEWBANK COLLEGE,G,VIEWBANK - YALLAMBIE,165,163,111,65,10,7,10,7,1,0
01101,WANGANUI PARK SECONDARY COLLEGE,G,SHEPPARTON - NORTH,176,176,128,30,14,13,16,21,6,0
01434,WANGARATTA HIGH SCHOOL,G,WANGARATTA REGION,117,93,68,31,21,12,9,25,3,0
01578,WANTIRNA COLLEGE,G,WANTIRNA,153,143,104,52,6,17,5,13,6,1
01173,WARRACKNABEAL SECONDARY COLLEGE,G,YARRIAMBIACK,23,23,19,26,21,5,32,16,0,0
01668,WARRAGUL REGIONAL COLLEGE,G,WARRAGUL,98,88,56,32,14,14,21,13,5,0
01526,WARRANDYTE HIGH SCHOOL,G,WARRANDYTE - WONGA PARK,66,62,38,39,5,24,13,11,8,0
01385,WARRNAMBOOL COLLEGE,G,WARRNAMBOOL - NORTH,130,130,87,15,38,10,25,10,1,0
01509,WELLINGTON SECONDARY COLLEGE,G,MULGRAVE,187,161,126,61,7,15,8,8,1,0
01036,WESLEY COLLEGE,I,SOUTH YARRA - WEST,207,163,85,74,16,2,1,5,1,0
01816,WESLEY COLLEGE,I,GLEN WAVERLEY - WEST,160,87,47,83,9,2,0,6,0,0
01460,WESTALL SECONDARY COLLEGE,G,CLAYTON SOUTH,59,52,36,39,3,28,8,14,6,3
01719,WESTERN HEIGHTS SECONDARY COLLEGE,G,GEELONG WEST - HAMLYN HEIGHTS,105,105,59,22,8,14,15,25,14,2
01498,WESTERN PORT SECONDARY COLLEGE,G,HASTINGS - SOMERS,51,40,27,30,7,11,11,33,7,0
01579,WHEELERS HILL SECONDARY COLLEGE,G,WHEELERS HILL,60,54,36,53,14,11,14,6,3,0
01288,WHITTLESEA SECONDARY COLLEGE,G,WHITTLESEA,103,99,68,26,4,21,13,25,9,1
01404,WILLIAMSTOWN HIGH SCHOOL,G,WILLIAMSTOWN,208,127,83,49,19,13,2,12,4,0
01672,WONTHAGGI SECONDARY COLLEGE,G,WONTHAGGI - INVERLOCH,154,111,80,28,19,9,18,26,1,0
01165,WOODLEIGH SCHOOL,I,LANGWARRIN,82,74,56,55,29,5,5,5,0,0
01293,WYCHEPROOF P-12 COLLEGE,G,BULOKE,15,15,14,71,14,0,7,0,7,0
01566,WYNDHAM CENTRAL SECONDARY COLLEGE,G,WERRIBEE,79,62,43,19,2,28,16,21,9,5
01454,XAVIER COLLEGE,C,KEW,237,215,121,81,7,5,4,2,1,0
01236,YARRA HILLS SECONDARY COLLEGE,G,MOOROOLBARK,73,56,41,24,10,17,27,10,10,2
01400,YARRA VALLEY GRAMMAR,I,RINGWOOD,128,127,68,65,18,7,0,10,0,0
01191,YARRAM SECONDARY COLLEGE,G,YARRAM,42,40,29,24,3,28,14,28,3,0
01508,YEA HIGH SCHOOL,G,YEA,38,32,18,39,6,11,6,28,11,0
,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
* On Track survey data is based on the number of students who responded to the 2017 On Track survey. This is a proportion of those who consented to participate in the On Track survey within the school.,,,,,,,,,,,,,
** On Track survey data does not include international students.,,,,,,,,,,,,,
"^ This category includes destinations of respondents that are not in the labour force or education or training, or those who's destinations cannot be identified.
",,,,,,,,,,,,,
,,,,,,,,,,,,,
Not all schools are included in the table. The following exlusion rules were applied:,,,,,,,,,,,,,
 - Schools with less than 10 Year 12 completers or less than 10 On Track respondents were not reported. ,,,,,,,,,,,,,
" - Schools with less than 50% consent rate, less than 50% response rate or less than 20% of the Year 12 cohort participating in the survey were not reported.",,,,,,,,,,,,,
,,,,,,,,,,,,,
See explanatory notes for further information on data contained within this table.,,,,,,,,,,,,,
