suburb,avg_study_score,school_count,SA2_NAME16
BURWOOD,36.5,2,Burwood
SOUTH YARRA,36.0,2,South Yarra
TOORAK,35.3,3,Toorak
GLEN IRIS,35.0,2,Glen Iris
KEW,34.7,6,Kew
IVANHOE,34.5,2,Ivanhoe
ARMADALE,34.5,2,Armadale
BRIGHTON,34.3,3,Brighton (Vic.)
WANTIRNA SOUTH,33.7,3,Wantirna South
TRUGANINA,33.5,2,Truganina
ST KILDA EAST,33.5,4,St Kilda East
MOUNT WAVERLEY,33.3,3,Mount Waverley
CANTERBURY,33.2,5,Canterbury
MENTONE,33.0,5,Mentone
HAWTHORN,32.7,3,Hawthorn
BRIGHTON EAST,32.0,2,Brighton East
BOX HILL,32.0,3,Box Hill
BERWICK,32.0,5,Berwick
MOUNT ELIZA,32.0,3,Mount Eliza
DONVALE,31.5,2,Donvale
KEYSBOROUGH,31.3,7,Keysborough
BALLARAT,31.2,4,Ballarat
NEWTOWN,31.0,3,Newtown
MULGRAVE,31.0,2,Mulgrave
BRAYBROOK,31.0,2,Braybrook
GLEN WAVERLEY,30.8,4,Glen Waverley
RINGWOOD,30.8,4,Ringwood
SEYMOUR,30.5,2,Seymour
ORMOND,30.5,2,Ormond
LANGWARRIN SOUTH,30.5,2,Langwarrin South
BELL POST HILL,30.5,2,Bell Post Hill
ESSENDON,30.2,5,Essendon
MONT ALBERT NORTH,30.0,2,Mont Albert North
MORDIALLOC,30.0,2,Mordialloc
NORTHCOTE,30.0,2,Northcote
MELBOURNE,30.0,6,Melbourne
RICHMOND,30.0,2,Richmond (Vic.)
ENDEAVOUR HILLS,30.0,2,Endeavour Hills
WHEELERS HILL,30.0,2,Wheelers Hill
WENDOUREE,30.0,2,Wendouree
ELTHAM,30.0,3,Eltham
WERRIBEE,29.2,5,Werribee
MERNDA,29.0,3,Mernda
NARRE WARREN SOUTH,29.0,2,Narre Warren South
SOUTH MORANG,29.0,2,South Morang
DRYSDALE,29.0,2,Drysdale
ARMSTRONG CREEK,29.0,2,Armstrong Creek
BUNDOORA,28.7,3,Bundoora
BENDIGO,28.7,3,Bendigo
SUNSHINE WEST,28.7,3,Sunshine West
HORSHAM,28.7,3,Horsham
ALTONA,28.5,2,Altona
OFFICER,28.5,4,Officer
THORNBURY,28.5,2,Thornbury
LEONGATHA,28.5,2,Leongatha
KYNETON,28.5,2,Kyneton
BROADMEADOWS,28.4,5,Broadmeadows
WARRNAMBOOL,28.2,4,Warrnambool
SHEPPARTON,28.2,4,Shepparton
FRANKSTON,28.2,4,Frankston
YARRA JUNCTION,28.0,2,Yarra Junction
FITZROY NORTH,28.0,2,Fitzroy North
CORIO,28.0,2,Corio
BACCHUS MARSH,28.0,2,Bacchus Marsh
SPRINGVALE,28.0,2,Springvale
MORNINGTON,28.0,2,Mornington
DROUIN,28.0,2,Drouin
TARNEIT,27.8,4,Tarneit
MOOROOLBARK,27.7,3,Mooroolbark
WANGARATTA,27.7,3,Wangaratta
MOUNT CLEAR,27.5,2,Mount Clear
HAWTHORN EAST,27.5,2,Hawthorn East
KERANG,27.5,2,Kerang
CAMPERDOWN,27.5,2,Camperdown
DOREEN,27.5,2,Doreen
GREENVALE,27.5,2,Greenvale
ARARAT,27.5,2,Ararat
TRARALGON,27.5,2,Traralgon
YARRAWONGA,27.5,2,Yarrawonga
LILYDALE,27.5,4,Lilydale
NOBLE PARK NORTH,27.5,2,Noble Park North
POINT COOK,27.5,2,Point Cook
SWAN HILL,27.5,2,Swan Hill
CRANBOURNE,27.4,5,Cranbourne
EPPING,27.4,5,Epping
SUNBURY,27.2,4,Sunbury
WARRAGUL,27.0,3,Warragul
PAKENHAM,27.0,3,Pakenham
BAIRNSDALE,27.0,2,Bairnsdale
CARRUM DOWNS,27.0,2,Carrum Downs
HAMILTON,26.8,4,Hamilton
HOPPERS CROSSING,26.5,2,Hoppers Crossing
RESERVOIR,26.5,2,Reservoir
COBURG,26.3,3,Coburg
SALE,26.2,4,Sale
BENALLA,26.0,2,Benalla
BRUNSWICK,26.0,2,Brunswick
ECHUCA,26.0,2,Echuca
MILDURA,26.0,2,Mildura
GEELONG,26.0,2,Geelong
CAROLINE SPRINGS,26.0,3,Caroline Springs
SEBASTOPOL,26.0,2,Sebastopol
MYRTLEFORD,26.0,2,Myrtleford
MARYBOROUGH,26.0,2,Maryborough
PRESTON,25.7,3,Preston
MELTON,25.7,3,Melton
FAWKNER,25.5,2,Fawkner
COLAC,25.5,2,Colac
MELTON SOUTH,25.5,2,Melton South
PORTLAND,25.5,2,Portland
KYABRAM,25.0,2,Kyabram
CRAIGIEBURN,25.0,3,Craigieburn
COBRAM,25.0,2,Cobram
WODONGA,25.0,2,Wodonga
DANDENONG,24.3,3,Dandenong
NATHALIA,23.0,2,Nathalia
GLENROY,21.0,2,Glenroy